,0
apmt_port_calls_anchor_data,"[13.0875, 30.657222222222224, 10.908611111111112, 33.303333333333335, 6.500277777777778, 43.06666666666667, 7.473055555555556, 40.84, 4.023888888888889, 31.0, 20.283055555555556, 10.386666666666667, 26.35861111111111, 0.06666666666666667, 11.784722222222221, 3.2491666666666665, 11.963888888888889]"
apmt_port_calls_anchor_stats,"(11.963888888888889, 17.93843137254902, 43.06666666666667, 0.06666666666666667)"
apmt_port_calls_moor_data,"[12.0, 24.155833333333334, 10.016111111111112, 7.000277777777778, 57.95333333333333, 9.0, 35.05, 8.0025, 42.93666666666667, 25.99277777777778, 16.951666666666668, 53.97083333333333, 7.958055555555555, 8.0, 44.958333333333336, 7.981944444444444, 22.003055555555555, 18.988055555555555, 24.0, 31.00027777777778, 9.000277777777777, 26.044722222222223, 26.0, 4.953055555555555, 17.95777777777778, 10.956388888888888, 6.000555555555556, 7.034166666666667, 6.050277777777778, 8.999722222222223, 32.95333333333333, 10.048333333333334, 8.0, 4.033055555555555, 8.0, 4.0152777777777775, 25.0, 10.000555555555556, 19.911666666666665, 12.950277777777778, 25.028055555555557, 33.040277777777774, 8.93, 53.98388888888889, 2.0077777777777777, 32.0375, 2.000277777777778, 22.015, 19.010277777777777, 8.00361111111111, 9.95, 7.996111111111111, 4.999722222222222, 23.011111111111113, 8.999722222222223, 20.05, 27.960277777777776, 19.006666666666668, 34.971944444444446, 8.975833333333334, 6.0, 3.05, 35.007777777777775, 2.970833333333333, 9.999722222222223, 2.9994444444444444, 12.993055555555555, 2.9569444444444444, 10.949722222222222, 4.973055555555556, 6.980277777777777, 6.999722222222222, 7.001111111111111, 22.941388888888888, 27.0, 25.0, 9.0175, 37.00277777777778, 16.0, 110.97888888888889, 10.0425, 6.05, 15.012222222222222, 12.0, 6.043055555555555, 4.958333333333333, 11.99611111111111, 30.001944444444444, 3.999722222222222, 10.0, 1.1, 10.97888888888889, 38.026666666666664, 13.951944444444445, 8.02111111111111, 23.0025, 7.000277777777778, 16.0, 11.951944444444445, 16.049722222222222, 45.00416666666667, 3.970833333333333, 12.0, 4.011111111111111, 40.964166666666664, 9.998055555555556, 2.968611111111111, 1.988611111111111, 32.99305555555556, 14.999166666666667, 13.998888888888889, 16.0225, 17.00027777777778, 12.995277777777778, 11.941944444444445, 7.031944444444444, 8.035277777777777, 3.0005555555555556, 7.997777777777777, 4.985, 7.0475, 5.016111111111111, 67.99944444444445, 4.985833333333333, 3.000277777777778, 8.05888888888889, 15.995555555555555, 10.981666666666667, 3.0, 19.000555555555554, 3.9994444444444444, 33.031666666666666, 9.950277777777778, 2.0180555555555557, 24.00027777777778, 65.35833333333333, 6.0008333333333335, 23.0, 33.03916666666667, 2.999722222222222, 7.999722222222222, 21.999444444444446, 6.008333333333334, 7.999722222222222, 28.052222222222223, 128.03861111111112, 39.99611111111111, 2.9991666666666665, 5.0175, 19.004166666666666, 12.000277777777777, 6.017222222222222, 20.000833333333333, 30.025, 8.981666666666667, 8.002777777777778, 12.0075, 8.003055555555555, 10.999444444444444, 6.000555555555556, 9.001111111111111, 7.9622222222222225, 17.99972222222222, 27.004722222222224, 11.028055555555556, 6.0008333333333335, 10.071388888888889, 5.983888888888889, 16.046666666666667, 5.010555555555555, 26.046944444444446, 7.95, 7.015, 28.04222222222222, 8.000833333333333, 11.037777777777778, 10.060277777777777, 4.036111111111111, 10.02, 8.998333333333333, 17.97833333333333, 10.021944444444445, 15.040555555555555, 2.0, 4.003611111111111, 21.070833333333333, 18.018055555555556, 36.999722222222225, 6.033888888888889, 23.013333333333332, 16.001944444444444, 5.999722222222222, 33.04083333333333, 9.03138888888889, 7.0325, 6.073611111111111, 27.094166666666666, 17.039722222222224, 13.148055555555555, 17.99972222222222, 10.04861111111111, 16.030277777777776, 24.999444444444446, 27.01861111111111, 6.0, 13.010277777777778]"
apmt_port_calls_moor_stats,"(10.953055555555554, 16.33702130528587, 128.03861111111112, 1.1)"
len of target_apmt_port_calls_df,206
len of target_non_apmt_port_calls_df,877
non_apmt_port_calls_anchor_data,"[54.22027777777778, 16.19, 22.970833333333335, 13.325555555555555, 6.269166666666667, 22.101111111111113, 0.5208333333333334, 94.35694444444445, 1.9502777777777778, 4.876666666666667, 19.829166666666666, 3.450277777777778, 7.95, 6.348333333333334, 14.336666666666666, 227.0275, 75.9, 6.651666666666666, 2.8866666666666667, 3.598888888888889, 42.952777777777776, 260.41583333333335, 27.297777777777778, 30.15, 17.6975, 4.61, 27.43611111111111, 7.449722222222222, 13.435, 78.1675, 6.9, 16.270833333333332, 6.658888888888889, 6.667777777777777, 2.501388888888889, 1.4375, 0.48444444444444446, 5.546666666666667, 26.70277777777778, 17.44638888888889, 40.043055555555554, 9.96861111111111, 12.231388888888889, 10.124444444444444, 0.8294444444444444, 5.5777777777777775, 28.54888888888889, 3.575277777777778, 45.937777777777775, 7.491388888888889, 10.449722222222222, 128.6025, 20.04722222222222, 5.0, 22.32472222222222, 39.5, 97.79583333333333, 5.502222222222223, 174.5725, 14.888055555555555, 3.5322222222222224, 9.219722222222222, 2.2, 26.953611111111112, 20.585277777777776, 13.9125, 29.150555555555556, 16.878888888888888, 11.137777777777778, 37.37611111111111, 11.716666666666667, 7.656944444444444, 18.88138888888889, 29.406111111111112, 15.735277777777778, 2.0208333333333335, 21.913333333333334, 40.45305555555556, 3.0505555555555555, 52.272777777777776, 5.652777777777778]"
non_apmt_port_calls_anchor_stats,"(13.9125, 27.996382030178328, 260.41583333333335, 0.48444444444444446)"
non_apmt_port_calls_moor_data,"[28.95, 27.003888888888888, 19.05, 24.00111111111111, 15.0, 79.00666666666666, 6.999722222222222, 69.99277777777777, 18.986944444444443, 7.0, 3.000277777777778, 10.02, 49.04138888888889, 18.001666666666665, 12.950555555555555, 3.998611111111111, 12.001388888888888, 46.999722222222225, 19.00111111111111, 12.966944444444444, 19.0, 10.030555555555555, 57.00555555555555, 1.9997222222222222, 7.005833333333333, 13.001388888888888, 16.05, 2.0, 78.00638888888889, 2.975, 6.014722222222222, 8.029166666666667, 9.000833333333333, 25.0, 2.0144444444444445, 8.000833333333333, 4.029722222222222, 45.9975, 5.950555555555556, 6.999722222222222, 311.99611111111113, 14.966111111111111, 6.065555555555555, 2.993888888888889, 9.000277777777777, 51.004444444444445, 9.040833333333333, 12.0, 20.01222222222222, 7.999444444444444, 16.049722222222222, 18.00138888888889, 13.900277777777777, 7.0, 43.05, 6.013888888888889, 3.0502777777777776, 11.0, 2.0, 4.925833333333333, 11.949444444444444, 12.999444444444444, 5.006944444444445, 23.983055555555556, 16.050555555555555, 6.999722222222222, 7.013055555555556, 8.021666666666667, 3.0027777777777778, 41.03638888888889, 13.0, 9.007777777777777, 13.0, 23.079722222222223, 8.95, 4.992222222222222, 6.0, 9.0, 6.000555555555556, 7.029444444444445, 9.019722222222223, 26.951944444444443, 3.001388888888889, 5.029722222222222, 7.000277777777778, 8.966388888888888, 6.000555555555556, 7.000277777777778, 12.0, 19.993055555555557, 25.017777777777777, 54.99333333333333, 18.951666666666668, 17.00138888888889, 10.0075, 8.037777777777778, 9.049722222222222, 4.973611111111111, 157.01, 14.975555555555555, 5.9925, 11.000277777777777, 5.049722222222222, 42.00333333333333, 3.05, 41.02027777777778, 13.0, 12.960833333333333, 66.95416666666667, 7.999722222222222, 20.99972222222222, 28.01222222222222, 45.003055555555555, 33.05305555555555, 25.991944444444446, 7.0, 14.004444444444445, 16.0, 4.026111111111111, 63.0, 8.006388888888889, 10.000277777777777, 10.024166666666666, 6.950555555555556, 15.972777777777777, 5.8997222222222225, 5.0, 19.996388888888887, 3.999722222222222, 33.05222222222222, 19.990555555555556, 26.023888888888887, 19.0525, 34.98027777777778, 8.033611111111112, 36.00055555555556, 16.984166666666667, 13.997222222222222, 21.05, 4.963888888888889, 10.0, 4.999444444444444, 13.001944444444444, 30.0075, 5.049166666666666, 24.01972222222222, 4.029444444444445, 6.999722222222222, 1.0494444444444444, 7.950277777777778, 9.950277777777778, 6.9591666666666665, 12.039444444444445, 7.974166666666667, 17.0, 9.019444444444444, 18.973055555555554, 26.00777777777778, 20.0, 16.008333333333333, 5.9991666666666665, 15.999722222222223, 17.029722222222222, 26.935833333333335, 9.036666666666667, 3.0025, 1.0002777777777778, 16.045833333333334, 49.98833333333334, 5.035833333333334, 10.991944444444444, 4.0, 16.00027777777778, 13.9625, 15.910555555555556, 9.0, 5.000555555555556, 5.019722222222223, 79.98777777777778, 38.0, 9.970555555555556, 16.983333333333334, 31.10361111111111, 22.999444444444446, 6.0505555555555555, 6.9511111111111115, 8.0, 92.9975, 20.0, 10.050277777777778, 3.975277777777778, 6.0008333333333335, 5.999444444444444, 11.0, 68.05, 13.001666666666667, 14.99, 21.049722222222222, 2.9494444444444445, 78.9325, 10.05, 3.95, 63.0, 5.0, 70.00333333333333, 7.9816666666666665, 21.994444444444444, 28.996111111111112, 23.95, 20.021944444444443, 50.005, 25.994722222222222, 5.0, 24.99416666666667, 13.950555555555555, 17.95722222222222, 6.0, 9.075833333333334, 11.049166666666666, 6.049444444444444, 12.000277777777777, 9.046666666666667, 12.000833333333333, 13.908611111111112, 92.90972222222223, 8.05888888888889, 18.016944444444444, 28.005555555555556, 28.951944444444443, 19.052222222222223, 20.025, 40.963055555555556, 44.02388888888889, 14.0, 4.002222222222223, 16.01638888888889, 2.000277777777778, 4.951388888888889, 28.950277777777778, 14.988888888888889, 4.926388888888889, 21.003055555555555, 2.9519444444444445, 6.0, 19.959444444444443, 25.030555555555555, 2.0, 12.000555555555556, 2.000277777777778, 16.009166666666665, 10.949722222222222, 13.055277777777778, 6.016666666666667, 6.950277777777778, 79.97777777777777, 2.968888888888889, 7.05, 8.071944444444444, 3.0, 8.0, 5.025, 3.0205555555555557, 3.0208333333333335, 5.0, 39.99916666666667, 9.999722222222223, 11.994166666666667, 3.0225, 15.903333333333334, 7.0, 5.076666666666667, 21.958333333333332, 90.97277777777778, 9.001388888888888, 4.982222222222222, 7.999722222222222, 14.049722222222222, 6.928055555555556, 3.9497222222222224, 183.99805555555557, 4.002777777777778, 14.0, 18.05, 8.999722222222223, 6.916111111111111, 41.9925, 60.0, 9.972222222222221, 5.999722222222222, 11.008055555555556, 29.013333333333332, 32.034166666666664, 5.0, 24.050555555555555, 4.987777777777778, 16.006666666666668, 5.000555555555556, 44.99916666666667, 19.00111111111111, 5.999722222222222, 25.0, 12.999722222222223, 44.00222222222222, 16.9025, 7.998333333333333, 20.051388888888887, 10.0, 40.0375, 20.00027777777778, 11.998333333333333, 1.0555555555555556, 2.970833333333333, 32.05555555555556, 28.994722222222222, 54.0, 335.97555555555556, 10.000277777777777, 7.043333333333333, 21.009722222222223, 67.0411111111111, 10.985833333333334, 12.947222222222223, 21.0, 9.005277777777778, 7.0, 15.972777777777777, 28.975555555555555, 34.04083333333333, 11.167222222222222, 14.0, 16.899722222222223, 12.000277777777777, 10.980555555555556, 8.003055555555555, 8.950277777777778, 1.951111111111111, 18.955277777777777, 7.984444444444445, 18.95, 10.0, 9.000555555555556, 16.04361111111111, 6.938888888888889, 9.000277777777777, 60.00527777777778, 44.99777777777778, 8.024444444444445, 10.000277777777777, 13.999444444444444, 13.05, 2.9994444444444444, 8.0, 45.0, 14.980555555555556, 64.0, 22.005277777777778, 34.04972222222222, 12.000555555555556, 10.95, 19.00027777777778, 5.950833333333334, 5.999722222222222, 9.000277777777777, 11.050833333333333, 18.95, 14.000277777777777, 2.0147222222222223, 16.052222222222223, 28.97111111111111, 36.00194444444445, 11.991111111111111, 14.000555555555556, 9.0, 8.000277777777777, 24.990833333333335, 25.001944444444444, 19.702222222222222, 14.000277777777777, 19.973333333333333, 26.032222222222224, 9.974722222222223, 7.0247222222222225, 10.859444444444444, 2.0, 7.986111111111111, 27.00027777777778, 16.0, 24.00138888888889, 19.975833333333334, 3.999722222222222, 7.983055555555556, 44.94972222222222, 26.05472222222222, 8.050277777777778, 26.982222222222223, 8.994722222222222, 7.9863888888888885, 39.01277777777778, 12.000833333333333, 6.029166666666667, 9.001388888888888, 2.013333333333333, 2.9825, 18.973333333333333, 64.90416666666667, 10.039166666666667, 11.996944444444445, 2.984722222222222, 4.0, 119.94694444444444, 6.038888888888889, 27.953333333333333, 5.999722222222222, 14.01388888888889, 11.971666666666666, 16.94972222222222, 13.028333333333334, 26.932777777777776, 3.0005555555555556, 3.055833333333333, 4.05, 24.030555555555555, 21.003055555555555, 8.017222222222221, 34.00361111111111, 7.001111111111111, 5.954444444444444, 2.024722222222222, 16.950277777777778, 42.00861111111111, 52.95527777777778, 23.99972222222222, 7.999722222222222, 13.006944444444445, 5.0377777777777775, 5.999444444444444, 10.993333333333334, 11.001111111111111, 13.000277777777777, 17.000555555555554, 18.050555555555555, 4.000277777777778, 3.9769444444444444, 42.006388888888885, 9.008888888888889, 14.004722222222222, 38.009166666666665, 14.065277777777778, 12.992777777777778, 7.002777777777778, 3.0725, 8.999722222222223, 6.022222222222222, 15.0, 20.002222222222223, 24.948333333333334, 6.999722222222222, 7.0, 13.004444444444445, 16.010555555555555, 119.00083333333333, 2.95, 35.05138888888889, 4.016666666666667, 9.01, 13.020555555555555, 13.000555555555556, 3.9955555555555557, 14.0025, 3.999722222222222, 23.947777777777777, 7.999722222222222, 5.000277777777778, 11.031666666666666, 9.000277777777777, 44.035, 25.038055555555555, 10.955833333333333, 5.006944444444445, 2.0191666666666666, 10.99611111111111, 15.989444444444445, 7.000277777777778, 8.012222222222222, 5.969166666666666, 12.95, 17.9975, 15.010277777777778, 18.9875, 10.015277777777778, 17.9975, 52.98833333333334, 6.996111111111111, 9.050277777777778, 19.00138888888889, 4.925277777777778, 8.000555555555556, 4.950277777777778, 10.0, 8.95, 14.032777777777778, 10.130555555555556, 16.048055555555557, 4.9775, 5.050833333333333, 7.950277777777778, 8.043888888888889, 83.9036111111111, 38.95388888888889, 7.000277777777778, 4.020833333333333, 4.0, 5.0344444444444445, 6.002777777777778, 14.991111111111111, 7.951388888888889, 9.989722222222222, 42.02444444444444, 73.00222222222222, 5.998055555555555, 6.030833333333334, 17.05027777777778, 12.016666666666667, 3.9963888888888888, 12.975277777777778, 10.073333333333334, 8.987222222222222, 29.00138888888889, 12.94, 4.000555555555556, 5.000277777777778, 20.004444444444445, 12.966944444444444, 4.953055555555555, 6.950277777777778, 2.999722222222222, 7.985277777777778, 7.999722222222222, 22.959444444444443, 14.938888888888888, 23.975277777777777, 9.969722222222222, 2.9594444444444443, 175.4413888888889, 19.3, 6.299722222222222, 177.09555555555556, 20.171388888888888, 5.042222222222223, 8.000555555555556, 5.9825, 9.982777777777779, 8.04, 2.99, 12.999722222222223, 10.0, 4.026944444444444, 6.985833333333333, 39.04138888888889, 14.001111111111111, 15.0325, 5.990833333333334, 5.0, 28.98611111111111, 22.97888888888889, 6.001388888888889, 10.010833333333334, 7.019722222222223, 23.02027777777778, 18.990277777777777, 3.046666666666667, 10.991944444444444, 56.005, 166.0036111111111, 2.0025, 9.001111111111111, 23.003888888888888, 5.001944444444445, 11.018888888888888, 5.033333333333333, 13.0, 59.00388888888889, 12.0, 10.000555555555556, 14.004166666666666, 44.00055555555556, 11.999722222222223, 50.03666666666667, 7.987777777777778, 5.073333333333333, 19.0, 24.017777777777777, 9.000833333333333, 3.001388888888889, 10.000277777777777, 27.99972222222222, 4.9775, 7.0, 7.0, 30.04111111111111, 10.004444444444445, 29.998055555555556, 5.954722222222222, 7.017777777777778, 27.00861111111111, 83.00055555555555, 14.000277777777777, 19.045555555555556, 4.998888888888889, 9.006388888888889, 70.99694444444444, 12.001388888888888, 23.023888888888887, 20.02722222222222, 12.001388888888888, 4.003611111111111, 13.008333333333333, 11.008611111111112, 172.99916666666667, 18.04138888888889, 17.0, 50.00083333333333, 8.999722222222223, 9.008055555555556, 6.0008333333333335, 11.014166666666666, 6.963333333333333, 13.923333333333334, 11.012777777777778, 6.039166666666667, 55.00527777777778, 11.967777777777778, 6.045, 9.005555555555556, 8.001111111111111, 7.9783333333333335, 8.972222222222221, 21.99861111111111, 16.019166666666667, 14.001388888888888, 11.04, 38.95388888888889, 57.00055555555556, 3.0394444444444444, 3.9975, 22.05638888888889, 23.99972222222222, 9.0, 10.951944444444445, 10.998055555555556, 5.000277777777778, 8.018611111111111, 16.00027777777778, 31.99888888888889, 9.006944444444445, 7.035555555555556, 4.015, 6.991666666666666, 3.999722222222222, 25.0375, 6.003055555555555, 7.993333333333333, 28.000555555555554, 25.016944444444444, 6.0, 10.00611111111111, 20.04388888888889, 6.001666666666667, 14.01, 9.000277777777777, 9.998888888888889, 9.999444444444444, 14.053888888888888, 9.0475, 19.979444444444443, 28.03527777777778, 20.996388888888887, 66.02361111111111, 8.000277777777777, 9.999722222222223, 5.046666666666667, 7.029166666666667, 68.96111111111111, 2.9994444444444444, 10.03138888888889, 5.022777777777778, 27.046388888888888, 4.028888888888889, 4.018611111111111, 38.98, 4.022777777777778, 7.025833333333333, 7.045, 63.13861111111111, 15.996666666666666, 4.999722222222222, 27.029444444444444, 7.0136111111111115, 8.000277777777777, 23.97833333333333, 6.000277777777778, 4.028888888888889, 10.000277777777777, 5.0, 3.0005555555555556, 5.0008333333333335, 11.0, 22.01361111111111, 5.999444444444444, 37.94722222222222, 2.999722222222222, 38.00138888888889, 9.044722222222223, 11.005277777777778, 7.001388888888889, 16.001666666666665, 14.005277777777778, 15.032777777777778, 12.000277777777777, 24.05, 50.011944444444445, 9.036666666666667, 40.04055555555556, 23.005, 8.98, 13.063333333333333, 7.964444444444444, 9.973055555555556, 4.0, 42.08638888888889, 43.00055555555556, 10.984444444444444, 35.01083333333333, 12.005, 8.012222222222222, 5.0, 26.0, 10.0, 5.085833333333333, 19.039722222222224, 5.0, 6.028888888888889, 15.039722222222222, 46.03666666666667, 17.04111111111111, 3.9975, 22.97361111111111, 11.999722222222223, 10.953333333333333, 11.048333333333334, 10.999444444444444, 6.999722222222222, 19.00027777777778, 20.01361111111111, 9.0025, 13.011388888888888, 12.014722222222222, 10.000277777777777, 8.000277777777777, 17.044166666666666, 21.01638888888889, 60.00361111111111, 11.031666666666666, 5.023611111111111, 26.017222222222223, 2.970833333333333, 4.455, 4.998888888888889, 15.0, 4.001388888888889, 4.0377777777777775, 4.003055555555555, 4.023333333333333, 21.0325, 6.000277777777778, 7.0225, 10.999166666666667, 11.997222222222222, 13.9775, 11.987222222222222, 7.000555555555556, 3.0277777777777777, 15.000833333333333, 11.018333333333333, 6.0008333333333335, 29.035555555555554, 22.969166666666666, 9.018888888888888, 11.018888888888888, 3.0211111111111113, 24.953333333333333, 9.001111111111111, 16.000555555555554, 38.02638888888889, 7.971388888888889, 14.0, 16.000555555555554, 11.015277777777778, 15.088333333333333, 11.012777777777778, 10.999166666666667, 13.005277777777778, 9.95138888888889, 7.029166666666667, 24.931944444444444, 6.011111111111111, 10.0, 24.04361111111111, 7.000555555555556, 25.99972222222222, 7.0, 7.05, 9.03111111111111, 2.0, 7.022222222222222, 5.003333333333333, 18.99416666666667, 10.024166666666666, 6.030555555555556, 13.044444444444444, 7.088055555555556, 11.0, 45.00138888888889, 4.997777777777777, 19.0, 6.000555555555556, 6.000555555555556, 19.975833333333334, 12.000277777777777, 40.04666666666667, 13.9975, 26.984444444444446, 1.95, 15.976666666666667, 30.0, 31.02166666666667, 4.999722222222222, 18.000833333333333, 10.000277777777777, 13.968333333333334, 5.999444444444444, 6.0, 13.025833333333333, 14.0475, 11.019166666666667, 10.0, 35.04222222222222, 21.99861111111111, 13.001666666666667, 14.0175, 17.051666666666666, 3.0, 7.999444444444444, 3.0030555555555556, 3.0372222222222223, 3.0005555555555556, 12.005277777777778, 4.0, 14.0, 6.000277777777778, 7.004166666666666, 12.001666666666667, 13.005277777777778, 22.999444444444446, 16.040555555555557, 7.999722222222222, 16.0, 14.05, 9.018333333333333, 15.001666666666667, 6.030555555555556, 6.0, 4.0, 2.9994444444444444]"
non_apmt_port_calls_moor_stats,"(11.010694444444445, 17.986192156114925, 335.97555555555556, 1.0002777777777778)"
